"Step","noble-grass-13 - learning_rate","noble-grass-13 - learning_rate__MIN","noble-grass-13 - learning_rate__MAX"
"0","0.000009755282581475769","0.000009755282581475769","0.000009755282581475769"
"1","0.000009045084971874738","0.000009045084971874738","0.000009045084971874738"
"2","0.000007938926261462366","0.000007938926261462366","0.000007938926261462366"
"3","0.000006545084971874738","0.000006545084971874738","0.000006545084971874738"
"4","0.000005","0.000005","0.000005"
"5","0.0000034549150281252635","0.0000034549150281252635","0.0000034549150281252635"
"6","0.000002061073738537635","0.000002061073738537635","0.000002061073738537635"
"7","9.549150281252633e-7","9.549150281252633e-7","9.549150281252633e-7"
"8","2.447174185242324e-7","2.447174185242324e-7","2.447174185242324e-7"
"9","0.00001","0.00001","0.00001"
"10","0.000009938441702975689","0.000009938441702975689","0.000009938441702975689"
"11","0.000009755282581475769","0.000009755282581475769","0.000009755282581475769"
"12","0.00000945503262094184","0.00000945503262094184","0.00000945503262094184"
"13","0.000009045084971874738","0.000009045084971874738","0.000009045084971874738"
"14","0.000008535533905932739","0.000008535533905932739","0.000008535533905932739"
"15","0.000007938926261462366","0.000007938926261462366","0.000007938926261462366"
"16","0.000007269952498697734","0.000007269952498697734","0.000007269952498697734"
"17","0.000006545084971874738","0.000006545084971874738","0.000006545084971874738"
"18","0.000005782172325201155","0.000005782172325201155","0.000005782172325201155"
"19","0.000005","0.000005","0.000005"
"20","0.000004217827674798847","0.000004217827674798847","0.000004217827674798847"
"21","0.0000034549150281252635","0.0000034549150281252635","0.0000034549150281252635"
"22","0.0000027300475013022666","0.0000027300475013022666","0.0000027300475013022666"
"23","0.000002061073738537635","0.000002061073738537635","0.000002061073738537635"
"24","0.0000014644660940672628","0.0000014644660940672628","0.0000014644660940672628"
"25","9.549150281252633e-7","9.549150281252633e-7","9.549150281252633e-7"
"26","5.449673790581611e-7","5.449673790581611e-7","5.449673790581611e-7"
"27","2.447174185242324e-7","2.447174185242324e-7","2.447174185242324e-7"
"28","6.15582970243117e-8","6.15582970243117e-8","6.15582970243117e-8"
"29","0.00001","0.00001","0.00001"
"30","0.000009984586668665641","0.000009984586668665641","0.000009984586668665641"
"31","0.000009938441702975689","0.000009938441702975689","0.000009938441702975689"
"32","0.000009861849601988384","0.000009861849601988384","0.000009861849601988384"
"33","0.000009755282581475769","0.000009755282581475769","0.000009755282581475769"
"34","0.000009619397662556434","0.000009619397662556434","0.000009619397662556434"
"35","0.00000945503262094184","0.00000945503262094184","0.00000945503262094184"
"36","0.000009263200821770462","0.000009263200821770462","0.000009263200821770462"
"37","0.000009045084971874738","0.000009045084971874738","0.000009045084971874738"
"38","0.000008802029828000157","0.000008802029828000157","0.000008802029828000157"
"39","0.000008535533905932739","0.000008535533905932739","0.000008535533905932739"
"40","0.00000824724024165092","0.00000824724024165092","0.00000824724024165092"
"41","0.000007938926261462366","0.000007938926261462366","0.000007938926261462366"
"42","0.000007612492823579744","0.000007612492823579744","0.000007612492823579744"
"43","0.000007269952498697734","0.000007269952498697734","0.000007269952498697734"
"44","0.000006913417161825449","0.000006913417161825449","0.000006913417161825449"
"45","0.000006545084971874738","0.000006545084971874738","0.000006545084971874738"
"46","0.0000061672268192795285","0.0000061672268192795285","0.0000061672268192795285"
"47","0.000005782172325201155","0.000005782172325201155","0.000005782172325201155"
"48","0.000005392295478639226","0.000005392295478639226","0.000005392295478639226"
"49","0.000005","0.000005","0.000005"
"50","0.0000046077045213607765","0.0000046077045213607765","0.0000046077045213607765"
"51","0.000004217827674798847","0.000004217827674798847","0.000004217827674798847"
"52","0.000003832773180720474","0.000003832773180720474","0.000003832773180720474"
"53","0.0000034549150281252635","0.0000034549150281252635","0.0000034549150281252635"
"54","0.0000030865828381745515","0.0000030865828381745515","0.0000030865828381745515"
"55","0.0000027300475013022666","0.0000027300475013022666","0.0000027300475013022666"
"56","0.000002387507176420256","0.000002387507176420256","0.000002387507176420256"
"57","0.000002061073738537635","0.000002061073738537635","0.000002061073738537635"
"58","0.0000017527597583490825","0.0000017527597583490825","0.0000017527597583490825"
"59","0.0000014644660940672628","0.0000014644660940672628","0.0000014644660940672628"
"60","0.000001197970171999846","0.000001197970171999846","0.000001197970171999846"
"61","9.549150281252633e-7","9.549150281252633e-7","9.549150281252633e-7"
"62","7.367991782295392e-7","7.367991782295392e-7","7.367991782295392e-7"
"63","5.449673790581611e-7","5.449673790581611e-7","5.449673790581611e-7"
"64","3.8060233744356634e-7","3.8060233744356634e-7","3.8060233744356634e-7"
"65","2.447174185242324e-7","2.447174185242324e-7","2.447174185242324e-7"
"66","1.3815039801161723e-7","1.3815039801161723e-7","1.3815039801161723e-7"
"67","6.15582970243117e-8","6.15582970243117e-8","6.15582970243117e-8"
"68","1.541333133436018e-8","1.541333133436018e-8","1.541333133436018e-8"
"69","0.00001","0.00001","0.00001"
"70","0.000009996145181203616","0.000009996145181203616","0.000009996145181203616"
"71","0.000009984586668665641","0.000009984586668665641","0.000009984586668665641"
"72","0.000009965342284774633","0.000009965342284774633","0.000009965342284774633"
"73","0.000009938441702975689","0.000009938441702975689","0.000009938441702975689"
"74","0.000009903926402016153","0.000009903926402016153","0.000009903926402016153"
"75","0.000009861849601988384","0.000009861849601988384","0.000009861849601988384"
"76","0.000009812276182268236","0.000009812276182268236","0.000009812276182268236"
"77","0.000009755282581475769","0.000009755282581475769","0.000009755282581475769"
"78","0.000009690956679612422","0.000009690956679612422","0.000009690956679612422"
"79","0.000009619397662556434","0.000009619397662556434","0.000009619397662556434"
"80","0.000009540715869125407","0.000009540715869125407","0.000009540715869125407"
"81","0.00000945503262094184","0.00000945503262094184","0.00000945503262094184"
"82","0.000009362480035363987","0.000009362480035363987","0.000009362480035363987"
"83","0.000009263200821770462","0.000009263200821770462","0.000009263200821770462"
"84","0.000009157348061512728","0.000009157348061512728","0.000009157348061512728"
"85","0.000009045084971874738","0.000009045084971874738","0.000009045084971874738"
"86","0.000008926584654403725","0.000008926584654403725","0.000008926584654403725"
"87","0.000008802029828000157","0.000008802029828000157","0.000008802029828000157"
"88","0.000008671612547178428","0.000008671612547178428","0.000008671612547178428"
"89","0.000008535533905932739","0.000008535533905932739","0.000008535533905932739"
"90","0.00000839400372766471","0.00000839400372766471","0.00000839400372766471"
"91","0.00000824724024165092","0.00000824724024165092","0.00000824724024165092"
"92","0.00000809546974654917","0.00000809546974654917","0.00000809546974654917"
"93","0.000007938926261462366","0.000007938926261462366","0.000007938926261462366"
"94","0.000007777851165098012","0.000007777851165098012","0.000007777851165098012"
"95","0.000007612492823579744","0.000007612492823579744","0.000007612492823579744"
"96","0.000007443106207484776","0.000007443106207484776","0.000007443106207484776"
"97","0.000007269952498697734","0.000007269952498697734","0.000007269952498697734"
"98","0.000007093298687687141","0.000007093298687687141","0.000007093298687687141"
"99","0.000006913417161825449","0.000006913417161825449","0.000006913417161825449"
"100","0.000006730585285387465","0.000006730585285387465","0.000006730585285387465"
"101","0.000006545084971874738","0.000006545084971874738","0.000006545084971874738"
"102","0.0000063572022493253715","0.0000063572022493253715","0.0000063572022493253715"
"103","0.0000061672268192795285","0.0000061672268192795285","0.0000061672268192795285"
"104","0.000005975451610080643","0.000005975451610080643","0.000005975451610080643"
"105","0.000005782172325201155","0.000005782172325201155","0.000005782172325201155"
"106","0.000005587686987289189","0.000005587686987289189","0.000005587686987289189"
"107","0.000005392295478639226","0.000005392295478639226","0.000005392295478639226"
"108","0.0000051962990787953436","0.0000051962990787953436","0.0000051962990787953436"
"109","0.000005","0.000005","0.000005"
"110","0.000004803700921204659","0.000004803700921204659","0.000004803700921204659"
"111","0.0000046077045213607765","0.0000046077045213607765","0.0000046077045213607765"
"112","0.0000044123130127108125","0.0000044123130127108125","0.0000044123130127108125"
"113","0.000004217827674798847","0.000004217827674798847","0.000004217827674798847"
"114","0.00000402454838991936","0.00000402454838991936","0.00000402454838991936"
"115","0.000003832773180720474","0.000003832773180720474","0.000003832773180720474"
"116","0.000003642797750674628","0.000003642797750674628","0.000003642797750674628"
"117","0.0000034549150281252635","0.0000034549150281252635","0.0000034549150281252635"
"118","0.0000032694147146125367","0.0000032694147146125367","0.0000032694147146125367"
"119","0.0000030865828381745515","0.0000030865828381745515","0.0000030865828381745515"
"120","0.000002906701312312861","0.000002906701312312861","0.000002906701312312861"
"121","0.0000027300475013022666","0.0000027300475013022666","0.0000027300475013022666"
"122","0.0000025568937925152247","0.0000025568937925152247","0.0000025568937925152247"
"123","0.000002387507176420256","0.000002387507176420256","0.000002387507176420256"
"124","0.0000022221488349019882","0.0000022221488349019882","0.0000022221488349019882"
"125","0.000002061073738537635","0.000002061073738537635","0.000002061073738537635"
